local_time_no_dst,wind_speed,irradiance_direct,irradiance_diffuse,temperature
2013-01-01 00:00:00,6.89,0.0,0.0,7.15
2013-01-01 01:00:00,6.971,0.0,0.0,7.096
2013-01-01 02:00:00,7.016,0.0,0.0,7.026
2013-01-01 03:00:00,6.971,0.0,0.0,6.921
2013-01-01 04:00:00,6.855,0.0,0.0,6.843
2013-01-01 05:00:00,6.687,0.0,0.0,6.816
2013-01-01 06:00:00,6.381,0.0,0.0,6.763999999999999
2013-01-01 07:00:00,6.071000000000001,0.001,0.004,6.665
2013-01-01 08:00:00,5.5520000000000005,0.013000000000000001,0.048,7.075
2013-01-01 09:00:00,5.0680000000000005,0.046,0.113,7.473
2013-01-01 10:00:00,4.745,0.135,0.165,8.006
2013-01-01 11:00:00,4.593,0.24100000000000002,0.182,8.552999999999999
2013-01-01 12:00:00,4.541,0.247,0.182,8.855
2013-01-01 13:00:00,4.658,0.187,0.168,8.942
2013-01-01 14:00:00,4.936,0.13,0.133,8.791
2013-01-01 15:00:00,5.251,0.048,0.07400000000000001,8.315
2013-01-01 16:00:00,5.751,0.005,0.01,7.335
2013-01-01 17:00:00,6.081,0.0,0.0,6.644
2013-01-01 18:00:00,5.99,0.0,0.0,6.115
2013-01-01 19:00:00,5.604,0.0,0.0,5.686
2013-01-01 20:00:00,4.979,0.0,0.0,5.486000000000001
2013-01-01 21:00:00,4.341,0.0,0.0,5.347
2013-01-01 22:00:00,3.742,0.0,0.0,5.359
2013-01-01 23:00:00,3.195,0.0,0.0,5.46
2013-01-02 00:00:00,2.863,0.0,0.0,5.541
2013-01-02 01:00:00,2.7689999999999997,0.0,0.0,5.612
2013-01-02 02:00:00,2.793,0.0,0.0,5.629
2013-01-02 03:00:00,2.8710000000000004,0.0,0.0,5.6
2013-01-02 04:00:00,3.0060000000000002,0.0,0.0,5.5520000000000005
2013-01-02 05:00:00,3.094,0.0,0.0,5.481
2013-01-02 06:00:00,3.033,0.0,0.0,5.393
2013-01-02 07:00:00,2.75,0.004,0.006999999999999999,5.4
2013-01-02 08:00:00,2.077,0.066,0.064,6.274
2013-01-02 09:00:00,1.158,0.163,0.11800000000000001,7.211
2013-01-02 10:00:00,1.003,0.254,0.149,8.032
2013-01-02 11:00:00,1.496,0.325,0.161,8.849
2013-01-02 12:00:00,1.935,0.366,0.156,9.447000000000001
2013-01-02 13:00:00,2.131,0.354,0.139,9.715
2013-01-02 14:00:00,2.146,0.259,0.114,9.742
2013-01-02 15:00:00,2.301,0.125,0.07400000000000001,9.342
2013-01-02 16:00:00,2.5780000000000003,0.015,0.013000000000000001,8.104
2013-01-02 17:00:00,2.448,0.0,0.0,7.579
2013-01-02 18:00:00,1.9409999999999998,0.0,0.0,7.4670000000000005
2013-01-02 19:00:00,1.2670000000000001,0.0,0.0,7.419
2013-01-02 20:00:00,0.58,0.0,0.0,7.381
2013-01-02 21:00:00,0.574,0.0,0.0,7.273
2013-01-02 22:00:00,1.1340000000000001,0.0,0.0,7.069
2013-01-02 23:00:00,1.584,0.0,0.0,6.87
2013-01-03 00:00:00,1.834,0.0,0.0,6.872999999999999
2013-01-03 01:00:00,2.008,0.0,0.0,6.952000000000001
2013-01-03 02:00:00,2.085,0.0,0.0,7.044
2013-01-03 03:00:00,2.081,0.0,0.0,7.13
2013-01-03 04:00:00,1.9909999999999999,0.0,0.0,7.178999999999999
2013-01-03 05:00:00,1.9409999999999998,0.0,0.0,7.224
